stamp,data
1546752838.48,64.0
1546752838.49,64.0
1546752838.5,64.0
1546752838.51,65.0
1546752838.52,68.0
1546752838.53,68.0
1546752838.54,75.0
1546752838.55,83.0
1546752838.56,90.0
1546752838.57,102.0
1546752838.58,106.0
1546752838.59,113.0
1546752838.6,117.0
1546752838.61,118.0
1546752838.62,125.0
1546752838.63,123.0
1546752838.64,125.0
1546752838.65,126.0
1546752838.66,125.0
1546752838.67,129.0
1546752838.68,127.0
1546752838.69,128.0
1546752838.7,128.0
1546752838.71,125.0
1546752838.72,128.0
1546752838.73,122.0
1546752838.74,121.0
1546752838.75,120.0
1546752838.76,116.0
1546752838.77,118.0
1546752838.78,113.0
1546752838.79,113.0
1546752838.8,112.0
1546752838.81,107.0
1546752838.82,108.0
1546752838.83,103.0
1546752838.84,101.0
1546752838.85,102.0
1546752838.86,99.0
1546752838.87,101.0
1546752838.88,98.0
1546752838.89,99.0
1546752838.9,100.0
1546752838.91,96.0
1546752838.92,99.0
1546752838.93,96.0
1546752838.94,94.0
1546752838.95,94.0
1546752838.96,91.0
1546752838.97,93.0
1546752838.98,90.0
1546752838.99,90.0
1546752839.0,91.0
1546752839.01,89.0
1546752839.02,90.0
1546752839.03,87.0
1546752839.04,85.0
1546752839.05,86.0
1546752839.06,93.0
1546752839.07,92.0
1546752839.08,97.0
1546752839.09,98.0
1546752839.1,97.0
1546752839.11,101.0
1546752839.12,98.0
1546752839.13,99.0
1546752839.14,98.0
1546752839.15,97.0
1546752839.16,100.0
1546752839.17,96.0
1546752839.18,95.0
1546752839.19,95.0
1546752839.2,93.0
1546752839.21,94.0
1546752839.23,90.0
1546752839.23,90.0
1546752839.24,90.0
1546752839.25,88.0
1546752839.26,89.0
1546752839.27,86.0
1546752839.28,86.0
1546752839.29,86.0
1546752839.3,84.0
1546752839.31,85.0
1546752839.32,81.0
1546752839.33,82.0
1546752839.34,81.0
1546752839.35,80.0
1546752839.36,80.0
1546752839.37,76.0
1546752839.38,76.0
1546752839.39,75.0
1546752839.4,74.0
1546752839.41,74.0
1546752839.42,71.0
1546752839.43,73.0
1546752839.44,72.0
1546752839.45,71.0
1546752839.46,71.0
1546752839.47,68.0
1546752839.48,69.0
1546752839.49,69.0
1546752839.5,68.0
1546752839.51,68.0
1546752839.52,66.0
1546752839.53,66.0
1546752839.54,67.0
1546752839.55,66.0
1546752839.56,66.0
1546752839.57,65.0
1546752839.58,66.0
1546752839.59,67.0
1546752839.6,66.0
1546752839.61,68.0
1546752839.62,65.0
1546752839.63,67.0
